ons_code,authority,region,sfa_2019,under_index_2019,ct_total_2019,nhb_2019,nhb_return_2019,rsdg_2019
E07000223,Adur,SE,1.738822277,0.056662233,6.34641885,0.12598778,0,0
E07000026,Allerdale,NW,3.793183117,0.117213728,5.304305875,0.838074739,0,0.325556023
E07000032,Amber Valley,EM,3.175290552,0.103321473,6.584579547,1.488868291,0,0
E07000224,Arun,SE,3.609874888,0.117633398,11.12985522,2.663596988,0,0
E07000170,Ashfield,EM,4.016666388,0.124576026,6.22079205,1.607576646,0,0
E07000105,Ashford,SE,2.831494179,0.092268649,7.55625,2.954410255,0,0.083085477
E31000001,Avon Fire,SW,15.76639935,0.349734533,26.94285282,0,0,0
E07000004,Aylesbury Vale,SE,3.919111957,0.127710369,12.16425902,5.905786875,0,0
E07000200,Babergh,EE,2.104409181,0.068575452,5.466189354,0.683342513,0,0.226762537
E09000002,Barking And Dagenham,L,74.50429621,1.850062941,61.78550175,3.50567973,0,0
E09000003,Barnet,L,63.97175845,1.88315369,178.296444,10.22480382,0,0
E08000016,Barnsley,YH,68.76826368,1.82555961,95.06362362,3.817600668,0,0
E07000027,Barrow-in-Furness,NW,4.331173653,0.100343877,4.595250282,0.0028,0,0
E07000066,Basildon,EE,5.610064382,0.182812689,16.99220128,1.599091169,0,0
E07000084,Basingstoke And Deane,SE,3.003244999,0.097865417,7.985647696,2.133207682,0,0
E07000171,Bassetlaw,EM,4.215100272,0.13005952,6.0362366,0.862420238,0,0.053727111
E06000022,Bath And North East Somerset,SW,23.79661981,0.759556888,92.03607,5.138812529,0,0
E06000055,Bedford,EE,37.39088604,1.030518574,90.46582585,6.077547216,0,0
E31000002,Bedfordshire Fire,EE,8.129809859,0.190523936,20.97345327,0,0,0
E31000003,Berkshire Fire,SE,10.23237193,0.228526962,23.05203156,0,0,0
E09000004,Bexley,L,39.31391555,1.175209054,111.3064678,1.740796395,0,0
E08000025,Birmingham,WM,462.212276,11.48576876,347.394243,7.605475743,0,0
E07000129,Blaby,EM,2.194483421,0.071510661,5.461698444,2.851625852,0,0
E06000008,Blackburn with Darwen,NW,57.15733447,1.428975711,52.60172229,0.940356229,0,0
E06000009,Blackpool,NW,62.32136885,1.548911385,56.83799751,0.453700865,0,0
E07000033,Bolsover,EM,4.048782832,0.093832764,3.875365441,0.811094623,0,0
E08000001,Bolton,NW,82.81874128,2.185437462,112.2090006,0.939683117,0,0
E07000136,Boston,EM,3.002112493,0.086668631,4.298239296,0.720881154,0,0.085246476
E06000028,Bournemouth,SW,0,0,0,0,0,0
E06000058,"Bournemouth, Christchurch and Poole",SW,56.97570004,1.760279199,209.6127374,3.78815403,0,0
E06000036,Bracknell Forest,SE,18.30467636,0.539700181,59.41944459,1.356010085,0,0
E08000032,Bradford,YH,171.0787612,4.465173535,195.250554,4.88729575,0,0
E07000067,Braintree,EE,3.431026403,0.111805341,9.43959933,1.250191118,0,0.022124606
E07000143,Breckland,EE,4.542201298,0.126955138,3.933182708,2.254600942,0,0.472438777
E09000005,Brent,L,111.4087417,2.831934788,121.9912753,8.803190575,0,0
E07000068,Brentwood,EE,1.63263919,0.053202092,6.198985416,0.677055259,0,0
E06000043,Brighton And Hove,SE,64.71058386,1.896118956,143.6789364,2.102107211,0,0
E06000023,Bristol,SW,117.6847741,3.270497312,214.7329564,6.943101794,0,0
E07000144,Broadland,EE,2.859420889,0.09220197,5.69133075,2.174078256,0,0
E09000006,Bromley,L,37.85658138,1.233615686,159.8506193,2.531423655,0,0
E07000234,Bromsgrove,WM,1.718179258,0.055989548,8.1872666,1.589239025,0,0
E07000095,Broxbourne,EE,2.370561303,0.07548287,4.66686424,0.498484438,0,0
E07000172,Broxtowe,EM,2.851023832,0.092905054,5.475201991,0.146750314,0,0
E10000002,Buckinghamshire,SE,43.79367569,1.427085155,293.1236588,2.148988081,0,0
E06000060,Buckinghamshire Council,SE,0,0,0,0,0,0
E31000004,Buckinghamshire Fire,SE,7.349217048,0.164989132,19.71517101,0,0,0
E07000117,Burnley,NW,5.809989553,0.136737324,6.96240202,0.607390932,0,0
E08000002,Bury,NW,41.6474246,1.154595346,83.130384,0.890718408,0,0
E08000033,Calderdale,YH,48.73648155,1.354020868,92.30643734,1.047652612,0,0
E07000008,Cambridge,EE,4.203294966,0.136970915,8.62784675,5.504366191,0,0
E10000003,Cambridgeshire,EE,64.34427514,2.096758457,297.9933021,2.970468034,0,0
E31000005,Cambridgeshire Fire,EE,8.767882459,0.19608906,20.13722332,0,0,0
E09000007,Camden,L,112.3377294,2.933437777,112.41186,5.166113094,0,0
E07000192,Cannock Chase,WM,2.996740906,0.097653471,6.268365205,1.437162536,0,0
E07000106,Canterbury,SE,4.612201042,0.150295757,10.60964815,1.767085095,0,0
E07000028,Carlisle,NW,3.28170837,0.10693958,7.18309732,1.565319997,0,0.183728954
E07000069,Castle Point,EE,2.226951353,0.07256868,7.94396961,0.568996473,0,0
E06000056,Central Bedfordshire,EE,31.65728122,1.031601832,153.6085117,8.16869487,0,0
E07000130,Charnwood,EM,4.38881529,0.137643652,8.106871392,3.730728591,0,0
E07000070,Chelmsford,EE,3.353495798,0.109278885,12.93575965,3.814613839,0,0
E07000078,Cheltenham,SW,2.79588918,0.091108405,8.916885656,1.468796571,0,0
E07000177,Cherwell,SE,3.871840661,0.122447783,6.92318165,5.086555985,0,0
E06000049,Cheshire East,NW,41.85445155,1.363892515,216.2426747,9.327468178,0,0
E31000006,Cheshire Fire,NW,13.24462863,0.303619017,29.08386335,0,0,0
E06000050,Cheshire West and Chester,NW,55.39017181,1.697883641,185.0812926,10.25372597,0,0
E07000034,Chesterfield,EM,3.75388718,0.108168994,4.781908934,0.312659312,0,0
E07000225,Chichester,SE,2.215801201,0.072205334,8.577541076,2.177602086,0,0.189069032
E07000005,Chiltern,SE,1.469264687,0.047878279,8.3305908,0.699608137,0,0
E07000118,Chorley,NW,2.893898692,0.094302198,7.127576736,2.790120415,0,0
E07000048,Christchurch,SW,0,0,0,0,0,0
E09000001,City of London,L,22.58274164,0.534631691,6.58852335,1.015605832,0,0
E31000007,Cleveland Fire,NE,14.45374333,0.300283314,11.86769703,0,0,0
E07000071,Colchester,EE,4.257540285,0.138738584,12.07215522,3.414925864,0,0
E07000029,Copeland,NW,2.520365948,0.08086063,4.240436779,0.125217218,0,0.048384679
E07000150,Corby,EM,2.188316432,0.067800533,3.713063,1.772631556,0,0
E06000052,Cornwall,SW,124.862429,3.595536356,296.6555576,11.7065446,0,3.943039074
E07000079,Cotswold,SW,1.848202573,0.06022656,5.374202083,3.254792663,0,0.602433506
E08000026,Coventry,WM,96.67820627,2.592803781,135.1573681,5.035705726,0,0
E07000163,Craven,YH,1.461717517,0.047632343,3.879185239,0.516835288,0,0.279914173
E07000226,Crawley,SE,3.643629642,0.116807261,7.182012222,1.473175463,0,0
E09000008,Croydon,L,86.7572938,2.374163806,180.0277842,6.684469996,0,0
E10000006,Cumbria,NW,105.1817246,2.848870986,236.4954172,0.91473418,0,5.806272172
E07000096,Dacorum,EE,2.968764454,0.096741815,11.53192747,2.178646463,0,0
