ons_code,authority,region,sfa_2016,under_index_2016,ct_total_2016,nhb_2016,nhb_return_2016,rsdg_2016
E07000223,Adur,SE,2.391204085,0.023390259,5.682769758,0.766640812,0.003743158,0
E07000026,Allerdale,NW,5.046013002,0.048386011,4.713838465,1.525500158,0.007651265,0.323546418
E07000032,Amber Valley,EM,4.496762222,0.042651267,5.690572773,1.812894168,0.006775451,0
E07000224,Arun,SE,5.023138622,0.048559251,9.61379496,4.014461347,0.007742972,0
E07000170,Ashfield,EM,5.415075791,0.051425179,5.603543198,3.088447803,0.008155401,0
E07000105,Ashford,SE,3.903472296,0.038088643,6.5625,3.782817388,0.00600929,0.082572604
E31000001,Avon Fire,SW,18.62949063,0.144370965,23.74108666,0,0,0
E07000004,Aylesbury Vale,SE,5.21456581,0.052719041,10.4676467,8.272410243,0.008302296,0
E07000200,Babergh,EE,2.948846195,0.028308054,4.7664972,1.779049094,0.004523431,0.225362768
E09000002,Barking And Dagenham,L,89.49434835,0.76370889,49.31405114,5.937300944,0.120763628,0
E09000003,Barnet,L,90.59833462,0.777368803,151.7076767,12.30750131,0.123927843,0
E08000016,Barnsley,YH,86.66548264,0.753593876,78.01174178,6.586786992,0.119469677,0
E07000027,Barrow-in-Furness,NW,5.567627157,0.04142211,4.025408476,0.466930721,0.006522056,0
E07000066,Basildon,EE,7.812881448,0.075465365,15.10418259,3.788529742,0.012036331,0
E07000084,Basingstoke And Deane,SE,4.217177669,0.040398998,6.678940484,5.283898788,0.006426778,0
E07000171,Bassetlaw,EM,5.619255113,0.053688774,5.306976271,1.990368455,0.008507117,0.053395463
E06000022,Bath And North East Somerset,SW,36.10210953,0.313546277,77.84736514,5.199265657,0.050122086,0
E06000055,Bedford,EE,50.83205083,0.425399687,74.37584268,8.284465116,0.067694668,0
E31000002,Bedfordshire Fire,EE,10.20785085,0.07864858,18.2045773,0,0,0
E31000003,Berkshire Fire,SE,12.43301983,0.094336289,20.16689183,0,0,0
E09000004,Bexley,L,55.46114309,0.485128145,94.24518396,4.160603457,0.077298839,0
E08000025,Birmingham,WM,554.4169242,4.741343399,287.9619453,21.06208326,0.749730193,0
E07000129,Blaby,EM,2.99336109,0.029519713,4.681958112,2.057131885,0.00469025,0
E06000008,Blackburn with Darwen,NW,69.6398158,0.58988342,43.92435558,1.652241024,0.093347727,0
E06000009,Blackpool,NW,75.84517424,0.639393054,48.2949741,1.692076189,0.101244188,0
E07000033,Bolsover,EM,5.13519202,0.038734313,3.324159525,1.31550258,0.006133213,0
E08000001,Bolton,NW,104.3849846,0.902152019,94.33111892,4.521656169,0.142046985,0
E07000136,Boston,EM,3.904309096,0.035776947,3.114417114,1.184127778,0.00567493,0.084720263
E06000028,Bournemouth,SW,47.66258084,0.418354208,78.68398401,5.067073092,0.066633608,0
E06000058,"Bournemouth, Christchurch and Poole",SW,0,0,0,0,0,0
E06000036,Bracknell Forest,SE,26.6869401,0.222789083,49.7950272,3.89867388,0.035553318,0
E08000032,Bradford,YH,211.3932945,1.843230654,159.9496704,11.15419794,0.290223101,0
E07000067,Braintree,EE,4.793674743,0.046153421,8.33573484,2.782134338,0.007355695,0.021988034
E07000143,Breckland,EE,5.651832053,0.052407281,3.102296428,3.005220836,0.008298603,0.469522489
E09000005,Brent,L,136.8299927,1.169027132,98.29051546,11.14685224,0.185054439,0
E07000068,Brentwood,EE,2.228661349,0.021961907,5.5041206,1.621699517,0.003512025,0
E06000043,Brighton And Hove,SE,87.24523633,0.782720885,119.9821148,5.013940443,0.123242136,0
E06000023,Bristol,SW,153.7149963,1.350066431,178.4027543,13.53559326,0.212572673,0
E07000144,Broadland,EE,4.02106313,0.038061118,5.047258,1.999567827,0.006043716,0
E09000006,Bromley,L,56.5026657,0.509238494,135.6827731,7.402331308,0.080181379,0
